ts	phase	decision	why	evidence	result
2026-09-12T02:18:00Z	research	fork kind bar instead of a companion overlay	overflow has to own layout and drag. flush-bar only watches config	/usr/share/omarchy/shell/plugins/README.md, github.com/scottjones/omarchy-flush-bar	chosen
2026-09-12T02:18:00Z	research	same PanelWindow second row, not a second layer surface	moduleDropAtScene discards pointers outside the source contentItem	/usr/share/omarchy/shell/plugins/bar/Bar.qml:913-920	chosen
2026-09-12T02:18:00Z	research	overflow flag on the layout entry, not a fourth region	keeps left/center/right and matches inline widget settings	/usr/share/omarchy/shell/plugins/bar/README.md	chosen
2026-09-12T02:18:00Z	research	treat overflow flips as structural in inlineSettingsDelta	same ids in the same order would otherwise skip a rebuild	/usr/share/omarchy/shell/plugins/bar/BarModel.js:76-101	open
2026-09-12T02:18:00Z	research	IpcHandler target dmalmq.omastow, not shell call	callIfLoaded only has panel overlay menu loaders	/usr/share/omarchy/shell/shell.qml:1279-1286	chosen
2026-09-12T02:18:00Z	research	copy packaged bar, do not clone omarchy.bar for publish	clone id and clonedFrom are not the marketplace contract. required-property clone bugs	github.com/basecamp/omarchy/issues/8202	chosen
2026-09-12T02:18:00Z	research	expect media to work through PluginFirstPartyServiceApi	kind bar gets proxies for idle media nightlight notifications	/usr/share/omarchy/shell/services/PluginFirstPartyServiceApi.qml	open
2026-09-12T06:52:00Z	load	dmalmq.omabar is the active bar	plugin enable plus restart left namespace omarchy-bar at 2400x24 with the same widgets	hyprctl layers after pid 390421, bar.after.png	chosen
2026-09-12T06:52:00Z	load	keep IpcHandler target omarchy.bar for omarchy-toggle-bar	toggle parked the live layer at y=-24 then restored y=0 even with a duplicate-handler warn	journal pid 390421, hyprctl layers	chosen
2026-09-12T06:52:00Z	load	media playback not proven on this session	no MPRIS names on the session bus. playerctl missing. widget is visible only when hasMedia	BarWidget.qml visible hasMedia, busctl --user list	open
2026-09-12T06:52:00Z	load	power panel summon is a gap	shell summon omarchy.power returned ok. no extra overlay layer. audio network bluetooth panels opened	hyprctl layers.power.txt vs popup-audio.png	open
2026-09-12T03:26:00Z	look	inset strip for expanded, stock bar plus down chevron for collapsed	flush reads as a taller bar. cluster is a poor drop target. tokens from live Aether bar	.scratch/overflow-look/shots/inset-expanded.png	superseded
2026-09-12T03:34:00Z	look	same-bar drawer as default, apps and plugins in one chevron	tray already collapses StatusNotifier items. plugins cannot join it. user wants that menu, not a second strip	/usr/share/omarchy/shell/plugins/bar/widgets/Tray.qml:155-159	chosen
2026-09-12T16:20:00Z	render	overlay local Tray.qml for omarchy.tray	configureBar gives a third-party bar publicBarWidgetSnapshot of the host registry. widgets/Tray.manifest.json is not a scanned plugin	/usr/share/omarchy/shell/shell.qml publicBarWidgetSnapshot, PluginRegistry.qml	chosen
2026-09-12T21:06:00Z	publish	name OmaStow, id dmalmq.omastow	OmaBar Drawer already listed as io.github.amitcpatel.omabar-drawer	plugins.omarchy.org, github.com/amitcpatel/omabar-drawer	chosen
2026-09-12T21:22:00Z	reveal	shared overflowExpanded latch, per-drawer hoverHeld	click and IPC open every monitor. a shared hover bool would collapse the still-hovered copy when the pointer leaves another	Bar.qml OverflowDrawer open OR, BarPanel barHoverCount	chosen
2026-09-13T06:04:11Z	drag	BarModel.moveModule owns the overflow bit; drawer chrome is the first-drop sink	QML splice could not assert the flag in node. empty moduleName appends in the source section so a first drop has a target before any overflowed plugin exists	test/bar-model.test.js moveModule	chosen
2026-09-13T06:40:00Z	bugfix	resolve the tray widget per bar surface, not one shared trayHostItem	one pointer was overwritten by every monitor copy and nulled when that monitor left. drawer reads the tray slot in its own window via sameWindow	Bar.qml trayWidgetFor, .scratch/bugfix/after-pinned-collapsed.png	chosen
2026-09-13T06:40:00Z	bugfix	a popout on an overflow slot holds the drawer open and skips the slide	PopupCard anchors once at show. summon on a collapsed drawer anchored under the reserved gap. instant reveal puts the icon in place before the anchor	.scratch/bugfix/before-leftdock-summon.png vs after-leftdock-summon.png	chosen
2026-09-13T06:40:00Z	bugfix	drawer-chrome drop resolves by edge, not by source section	appending in the source section landed the widget wherever that section fell in the left center right walk, not where the marker sat	test/bar-model.test.js drawerChromeDropTarget	chosen
2026-09-13T06:40:00Z	bugfix	mirror drawer geometry when docked on the left section	right-dock offsets left a drawer-width gap before a left-docked chevron and slid it toward the modules	.scratch/bugfix/before-leftdock-collapsed.png vs after-leftdock-collapsed.png	chosen
